,test_condition,accuracy,agent,cotN,concept
2881,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,hold++tennis_racket
2882,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hold++tennis_racket
2883,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,hold++tennis_racket
2884,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,hold++tennis_racket
2885,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,hold++tennis_racket
2886,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,hold++tennis_racket
2887,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hold++tennis_racket
2888,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hold++toothbrush
2889,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,hold++toothbrush
2890,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hold++toothbrush
2891,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,hold++toothbrush
2892,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hold++toothbrush
2893,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,hold++toothbrush
2894,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hold++toothbrush
2895,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,hold++toothbrush
2896,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hold++toothbrush
2897,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hold++toothbrush
2898,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,hold++umbrella
2899,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hold++umbrella
2900,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hold++vase
2901,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hold++vase
2902,test_seen_obj_seen_act,,gpt-4o,chain_of_thought2,hold++vase
2903,test_seen_obj_seen_act,,gpt-4o,chain_of_thought2,hold++vase
2904,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hold++wine_glass
2905,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,hold++wine_glass
2906,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,hold++wine_glass
2907,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,hold++wine_glass
2908,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hold++wine_glass
2909,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hold++wine_glass
2910,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hold++wine_glass
2911,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,hold++wine_glass
2912,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hold++wine_glass
2913,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,hold++wine_glass
2914,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,hold_and_about_to_eat++apple
2915,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,hold_and_about_to_eat++apple
2916,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,hold_and_about_to_eat++apple
2917,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,hold_and_about_to_eat++apple
2918,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,hold_and_about_to_eat++apple
2919,test_unseen_obj_unseen_act,0.0,gpt-4o,chain_of_thought2,hold_and_about_to_eat++apple
2920,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,hold_and_about_to_eat++apple
2921,test_unseen_obj_unseen_act,0.0,gpt-4o,chain_of_thought2,hold_and_about_to_eat++apple
2922,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,hold_and_about_to_eat++apple
2923,test_unseen_obj_unseen_act,0.0,gpt-4o,chain_of_thought2,hold_and_about_to_eat++apple
2924,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,hold_and_about_to_eat++banana
2925,test_seen_obj_unseen_act,0.0,gpt-4o,chain_of_thought2,hold_and_about_to_eat++banana
2926,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,hug++cat
2927,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,hug++cat
2928,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hug++cat
2929,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hug++cat
2930,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hug++dog
2931,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,hug++dog
2932,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,hug++dog
2933,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hug++dog
2934,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hug++dog
2935,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,hug++dog
2936,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hug++dog
2937,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hug++dog
2938,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hug++dog
2939,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hug++dog
2940,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hug++person
2941,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hug++person
2942,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hug++person
2943,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hug++person
2944,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hug++person
2945,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hug++person
2946,test_seen_obj_seen_act,,gpt-4o,chain_of_thought2,hug++person
2947,test_seen_obj_seen_act,,gpt-4o,chain_of_thought2,hug++person
2948,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hug++person
2949,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,hug++person
2950,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,inspect++bicycle
2951,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,inspect++bicycle
2952,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,inspect++motorcycle
2953,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,inspect++motorcycle
2954,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,inspect++motorcycle
2955,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,inspect++motorcycle
2956,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,inspect++motorcycle
2957,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,inspect++motorcycle
2958,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,inspect++motorcycle
2959,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,inspect++motorcycle
2960,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,inspect++motorcycle
2961,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,inspect++motorcycle
2962,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,inspect++surfboard
2963,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,inspect++surfboard
2964,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++bicycle
2965,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,jump++bicycle
2966,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++bicycle
2967,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++bicycle
2968,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++bicycle
2969,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,jump++bicycle
2970,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++bicycle
2971,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++bicycle
2972,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++motorcycle
2973,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++motorcycle
2974,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++motorcycle
2975,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,jump++motorcycle
2976,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++motorcycle
2977,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++motorcycle
2978,test_seen_obj_seen_act,,gpt-4o,chain_of_thought2,jump++motorcycle
2979,test_seen_obj_seen_act,,gpt-4o,chain_of_thought2,jump++motorcycle
2980,test_seen_obj_seen_act,,gpt-4o,chain_of_thought2,jump++motorcycle
2981,test_seen_obj_seen_act,,gpt-4o,chain_of_thought2,jump++motorcycle
2982,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++skateboard
2983,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,jump++skateboard
2984,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++skateboard
2985,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++skateboard
2986,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++skateboard
2987,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,jump++skateboard
2988,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++skateboard
2989,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++skateboard
2990,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++skateboard
2991,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++skateboard
2992,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++skis
2993,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++skis
2994,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++skis
2995,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++skis
2996,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++snowboard
2997,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++snowboard
2998,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++snowboard
2999,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++snowboard
3000,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++snowboard
3001,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++snowboard
3002,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++snowboard
3003,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++snowboard
3004,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++snowboard
3005,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++snowboard
3006,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++surfboard
3007,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++surfboard
3008,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,jump++surfboard
3009,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,jump++surfboard
3010,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kick++sports_ball
3011,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,kick++sports_ball
3012,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kick++sports_ball
3013,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kick++sports_ball
3014,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kick++sports_ball
3015,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kick++sports_ball
3016,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kick++sports_ball
3017,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,kick++sports_ball
3018,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kick++sports_ball
3019,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kick++sports_ball
3020,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kiss++dog
3021,test_seen_obj_seen_act,,gpt-4o,chain_of_thought2,kiss++dog
3022,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kiss++dog
3023,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kiss++dog
3024,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kiss++dog
3025,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,kiss++dog
3026,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kiss++dog
3027,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kiss++dog
3028,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kiss++dog
3029,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,kiss++dog
3030,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kiss++person
3031,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kiss++person
3032,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kiss++person
3033,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kiss++person
3034,test_seen_obj_seen_act,,gpt-4o,chain_of_thought2,kiss++person
3035,test_seen_obj_seen_act,,gpt-4o,chain_of_thought2,kiss++person
3036,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kiss++person
3037,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kiss++person
3038,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kiss++person
3039,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,kiss++person
3040,test_seen_obj_unseen_act,,gpt-4o,chain_of_thought2,lick++knife
3041,test_seen_obj_unseen_act,0.0,gpt-4o,chain_of_thought2,lick++knife
3042,test_seen_obj_unseen_act,,gpt-4o,chain_of_thought2,lick++knife
3043,test_seen_obj_unseen_act,,gpt-4o,chain_of_thought2,lick++knife
3044,test_seen_obj_unseen_act,,gpt-4o,chain_of_thought2,lick++knife
3045,test_seen_obj_unseen_act,,gpt-4o,chain_of_thought2,lick++knife
3046,test_seen_obj_unseen_act,,gpt-4o,chain_of_thought2,lick++knife
3047,test_seen_obj_unseen_act,,gpt-4o,chain_of_thought2,lick++knife
3048,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lick_or_sip++spoon
3049,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,lick_or_sip++spoon
3050,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lick_or_sip++spoon
3051,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,lick_or_sip++spoon
3052,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lick_or_sip++spoon
3053,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,lick_or_sip++spoon
3054,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lick_or_sip++spoon
3055,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lick_or_sip++spoon
3056,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++bed
3057,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++bed
3058,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++bed
3059,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++bed
3060,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++bed
3061,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,lie_on++bed
3062,test_seen_obj_seen_act,,gpt-4o,chain_of_thought2,lie_on++bed
3063,test_seen_obj_seen_act,,gpt-4o,chain_of_thought2,lie_on++bed
3064,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++bed
3065,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++bed
3066,test_unseen_obj_seen_act,,gpt-4o,chain_of_thought2,lie_on++bench
3067,test_unseen_obj_seen_act,,gpt-4o,chain_of_thought2,lie_on++bench
3068,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++bench
3069,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++bench
3070,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++bench
3071,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++bench
3072,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++bench
3073,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++bench
3074,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++bench
3075,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,lie_on++bench
3076,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++couch
3077,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++couch
3078,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,lie_on++couch
3079,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++couch
3080,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++couch
3081,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++couch
3082,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++couch
3083,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,lie_on++couch
3084,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++couch
3085,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,lie_on++couch
3086,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++surfboard
3087,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,lie_on++surfboard
3088,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,lie_on_like++chair
3089,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,lie_on_like++chair
3090,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,lie_on_like++chair
3091,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,lie_on_like++chair
3092,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,lie_on_like++chair
3093,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,lie_on_like++chair
3094,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,lie_on_like++chair
3095,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,lie_on_like++chair
3096,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,lie_on_like++chair
3097,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,lie_on_like++chair
3098,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,make++vase
3099,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,make++vase
3100,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,milk++cow
3101,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,milk++cow
3102,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,open++refrigerator
3103,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,open++refrigerator
3104,test_seen_obj_seen_act,,gpt-4o,chain_of_thought2,open++refrigerator
3105,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,open++refrigerator
3106,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,peel++banana
3107,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,peel++banana
3108,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,peel++banana
3109,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,peel++banana
3110,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,peel++banana
3111,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,peel++banana
3112,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,peel++banana
3113,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,peel++banana
3114,test_seen_obj_seen_act,,gpt-4o,chain_of_thought2,peel++orange
3115,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,peel++orange
3116,test_unseen_obj_unseen_act,,gpt-4o,chain_of_thought2,peel_or_cut++apple
3117,test_unseen_obj_unseen_act,,gpt-4o,chain_of_thought2,peel_or_cut++apple
3118,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,peel_or_cut++apple
3119,test_unseen_obj_unseen_act,0.0,gpt-4o,chain_of_thought2,peel_or_cut++apple
3120,test_unseen_obj_unseen_act,,gpt-4o,chain_of_thought2,peel_or_cut++apple
3121,test_unseen_obj_unseen_act,,gpt-4o,chain_of_thought2,peel_or_cut++apple
3122,test_unseen_obj_unseen_act,,gpt-4o,chain_of_thought2,peel_or_cut++apple
3123,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,peel_or_cut++apple
3124,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,peel_or_cut++apple
3125,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,peel_or_cut++apple
3126,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,pet++cat
3127,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,pet++cat
3128,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,pet++dog
3129,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,pet++dog
3130,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,pet++dog
3131,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,pet++dog
3132,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,pet++dog
3133,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,pet++dog
3134,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,pet++dog
3135,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,pet++dog
3136,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,pet++dog
3137,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,pet++dog
3138,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,pet++sheep
3139,test_unseen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,pet++sheep
3140,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,pet++sheep
3141,test_unseen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,pet++sheep
3142,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,pick++apple
3143,test_unseen_obj_unseen_act,0.0,gpt-4o,chain_of_thought2,pick++apple
3144,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,pick++apple
3145,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,pick++apple
3146,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,pick++apple
3147,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,pick++apple
3148,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,pick++apple
3149,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,pick++apple
3150,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,pick++apple
3151,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,pick++apple
3152,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,point_at_camera++remote
3153,test_unseen_obj_unseen_act,0.0,gpt-4o,chain_of_thought2,point_at_camera++remote
3154,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,point_at_camera++remote
3155,test_unseen_obj_unseen_act,0.0,gpt-4o,chain_of_thought2,point_at_camera++remote
3156,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,point_at_camera++remote
3157,test_unseen_obj_unseen_act,0.0,gpt-4o,chain_of_thought2,point_at_camera++remote
3158,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,point_at_camera++remote
3159,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,point_at_camera++remote
3160,test_unseen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,point_at_camera++remote
3161,test_unseen_obj_unseen_act,0.0,gpt-4o,chain_of_thought2,point_at_camera++remote
3162,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,push++motorcycle
3163,test_seen_obj_unseen_act,0.0,gpt-4o,chain_of_thought2,push++motorcycle
3164,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,push++motorcycle
3165,test_seen_obj_unseen_act,0.0,gpt-4o,chain_of_thought2,push++motorcycle
3166,test_seen_obj_unseen_act,,gpt-4o,chain_of_thought2,push++motorcycle
3167,test_seen_obj_unseen_act,,gpt-4o,chain_of_thought2,push++motorcycle
3168,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,push++motorcycle
3169,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,push++motorcycle
3170,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,push++motorcycle
3171,test_seen_obj_unseen_act,0.0,gpt-4o,chain_of_thought2,push++motorcycle
3172,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,read++laptop
3173,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,read++laptop
3174,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,read++laptop
3175,test_seen_obj_unseen_act,0.0,gpt-4o,chain_of_thought2,read++laptop
3176,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,read++laptop
3177,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,read++laptop
3178,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,read++laptop
3179,test_seen_obj_unseen_act,0.0,gpt-4o,chain_of_thought2,read++laptop
3180,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,read++laptop
3181,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,read++laptop
3182,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,release++bird
3183,test_seen_obj_unseen_act,1.0,gpt-4o,chain_of_thought2,release++bird
3184,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,repair++bicycle
3185,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,repair++bicycle
3186,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,repair++bicycle
3187,test_seen_obj_seen_act,0.0,gpt-4o,chain_of_thought2,repair++bicycle
3188,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,repair++bicycle
3189,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,repair++bicycle
3190,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,repair++bicycle
3191,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,repair++bicycle
3192,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,repair++bicycle
3193,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,repair++bicycle
3194,test_seen_obj_seen_act,1.0,gpt-4o,chain_of_thought2,repair++laptop
